"","vote","party.id","class","ethnicity","gender","mobility","inequality","btry","immcult","immcrime","immecon","bviolent","bhard","wappr","wfavors","wcontrol","jobworry","econstate","econgood","econnext","econfin","econahead","anxiety","bv","racism","xphobia"
"1115",1,"ind","don't know/refuse","white","male",2,47,5,1,2,2,6,3,2,3,1,1,3,4,3,3,4,8,5,13,5
"1116",0,"dem","middle","nonwhite","male",2,800,1,2,2,2,3,1,3,4,2,2,1,2,3,3,3,8,2,4,6
"1117",0,"dem","don't know/refuse","white","female",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,2,2,-6,2,3,NA,NA,NA,NA,NA,NA
"1118",0,"rep","don't know/refuse","white","male",2,38,4,1,1,1,4,2,3,5,3,1,3,2,-2,3,1,5,3,9,3
"1119",0,"ind","working","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,3,1,-6,3,3,NA,NA,NA,NA,NA,NA
"1120",0,"ind","working","white","male",2,4,4,2,4,4,3,3,3,3,3,1,1,3,2,3,1,5,2,9,10
"1121",0,"rep","don't know/refuse","white","male",2,52,2,2,2,2,4,2,2,4,4,1,3,4,4,2,3,6,3,7,6
"1122",0,"ind","don't know/refuse",NA,"male",3,52,4,1,4,2,4,4,3,4,-9,1,3,4,2,3,2,6,3,11,7
"1123",1,"rep","middle","white","female",2,81,4,1,1,2,3,4,3,5,4,NA,2,3,3,1,3,NA,2,10,4
"1124",0,"ind","don't know/refuse","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,2,1,NA,NA,NA,NA,NA,NA
"1125",0,"ind","working","white","male",1,41,1,1,1,1,4,1,5,4,3,NA,2,2,2,3,3,NA,3,5,3
"1126",0,"ind","working","white","female",3,21,2,2,1,1,4,2,4,3,4,3,1,3,3,3,2,8,3,7,4
"1127",0,"ind","middle","white","male",2,17,2,1,1,2,4,1,5,4,5,2,2,2,2,2,4,8,3,6,4
"1128",1,"rep","don't know/refuse","white","female",2,81,3,4,3,3,5,3,2,2,5,1,2,3,3,3,3,7,4,10,10
"1129",0,"ind","don't know/refuse","white","female",2,27,3,2,1,2,3,4,3,3,4,1,3,4,2,2,4,7,2,9,5
"1130",0,"dem","don't know/refuse","nonwhite","female",1,24,4,3,3,2,4,5,1,4,2,NA,2,4,2,5,1,NA,3,12,8
"1131",0,"dem","middle","white","female",2,80,1,1,1,2,5,2,3,3,3,NA,2,4,3,4,3,NA,4,7,4
"1132",1,NA,"middle","white","male",2,50,4,5,1,1,4,3,5,3,5,1,3,4,-2,1,1,3,3,10,7
"1133",0,NA,"working","white","male",2,31,4,3,3,2,5,5,3,3,3,1,3,5,3,1,4,6,4,13,8
"1134",1,NA,"don't know/refuse","white","male",2,13,1,4,4,2,5,5,2,2,2,4,4,4,5,3,2,9,4,10,10
"1135",0,"dem","don't know/refuse","nonwhite","female",2,81,5,1,1,1,3,2,5,5,4,1,2,2,3,3,2,6,2,9,3
"1136",0,"dem","don't know/refuse","nonwhite","female",2,32,3,1,1,1,1,1,5,5,5,1,2,3,3,2,3,6,1,5,3
"1137",1,"ind","don't know/refuse","white","female",3,25,5,2,2,2,6,4,4,4,3,1,3,2,4,2,3,6,5,14,6
"1138",0,"ind","working","white","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,3,2,-6,3,3,NA,NA,NA,NA,NA,NA
"1139",0,"dem","don't know/refuse","nonwhite","female",3,17,4,2,1,2,4,3,5,5,5,1,1,2,3,1,1,3,3,10,5
"1140",1,"rep","working","white","female",2,50,4,2,4,4,4,4,5,4,2,2,4,4,4,3,3,8,3,11,10
"1141",0,"dem","don't know/refuse","white","male",1,13,4,2,2,4,2,2,3,-8,4,NA,3,2,2,2,2,NA,1,7,8
"1142",1,"rep","don't know/refuse","white","female",2,24,5,3,1,3,4,4,2,3,2,1,4,4,2,1,4,6,3,12,7
"1143",1,"rep","middle","white","male",1,5,5,3,3,3,6,5,3,4,3,2,3,4,4,3,3,8,5,15,9
"1144",0,"dem","working","nonwhite","female",2,33,2,3,4,3,5,3,3,4,3,2,3,4,3,2,4,8,4,9,10
"1145",0,"ind","don't know/refuse","white","female",3,1,3,3,3,3,4,3,3,3,3,2,3,4,2,2,3,7,3,9,9
"1146",0,NA,"working","white","female",2,32,4,2,NA,NA,5,4,4,5,4,NA,3,4,-2,4,5,NA,4,12,NA
"1147",0,"dem","don't know/refuse","white","female",3,32,2,1,1,1,3,1,4,4,5,1,2,2,3,1,3,5,2,5,3
"1148",0,"dem","working","nonwhite","male",2,48,3,3,2,2,5,1,2,4,2,NA,3,3,2,3,5,NA,4,8,7
"1149",0,"ind","don't know/refuse","white","female",1,80,1,1,2,2,2,1,5,5,5,1,2,2,4,1,2,4,1,3,5
"1150",0,"dem","don't know/refuse","white","female",1,32,1,1,1,1,3,1,5,5,5,1,2,2,1,3,3,7,2,4,3
"1151",0,"dem","middle","white","female",2,24,2,2,2,2,5,2,3,5,3,1,3,2,3,3,3,7,4,8,6
"1152",0,"ind","don't know/refuse","nonwhite","female",2,34,1,NA,4,4,3,1,5,5,5,NA,2,4,3,2,3,NA,2,4,NA
"1153",0,"dem","working","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,4,1,-6,1,3,NA,NA,NA,NA,NA,NA
"1154",1,"ind","don't know/refuse","white","male",2,27,1,5,5,1,2,1,3,5,3,1,5,5,5,3,5,9,1,3,11
"1155",1,"ind","don't know/refuse","white","male",2,50,5,1,4,1,4,4,4,2,2,NA,2,4,3,1,2,NA,3,12,6
"1156",1,"ind","don't know/refuse","white","female",2,38,5,3,3,4,4,4,2,4,5,1,4,4,3,1,3,5,3,12,10
"1157",0,"ind","middle","nonwhite","female",1,32,5,1,1,1,5,5,2,4,1,2,2,2,2,5,4,11,4,14,3
"1158",0,"ind","middle","white",NA,2,13,1,1,1,1,4,1,-9,5,-9,1,2,2,2,2,3,6,3,5,3
"1159",0,"dem","middle","white","male",2,41,2,1,1,1,5,2,4,4,3,NA,1,2,2,3,3,NA,4,8,3
"1160",0,"dem","middle","white","male",2,49,1,1,1,2,-9,1,4,4,2,NA,3,2,3,3,4,NA,NA,NA,4
"1161",0,NA,"lower",NA,"male",2,32,5,3,3,1,3,2,2,4,2,NA,2,2,2,3,1,NA,2,9,7
"1162",1,"rep","don't know/refuse","white","male",2,50,2,3,4,4,3,2,1,4,2,NA,2,5,2,1,4,NA,2,6,11
"1163",0,"dem","don't know/refuse","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,NA,-6,3,3,NA,NA,NA,NA,NA,NA
"1164",0,"ind","don't know/refuse","white","female",2,81,1,1,1,1,4,2,3,5,3,1,2,2,3,1,3,5,3,6,3
"1165",1,"rep","working","white","male",2,32,4,4,4,4,4,5,2,4,2,5,5,4,3,1,5,11,3,12,12
"1166",0,"rep","middle","nonwhite","male",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,4,2,-6,2,3,NA,NA,NA,NA,NA,NA
"1167",0,"dem","lower",NA,"female",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,5,1,-6,2,5,NA,NA,NA,NA,NA,NA
"1168",0,"dem","middle","nonwhite","male",2,81,5,1,1,1,6,5,3,3,2,NA,4,4,3,5,5,NA,5,15,3
"1169",0,"rep","upper","white","male",2,47,4,2,1,1,4,2,3,4,4,1,2,2,2,1,2,4,3,9,4
"1170",0,"dem","don't know/refuse","white","male",1,52,1,1,1,1,3,1,5,5,5,2,3,3,3,5,4,11,2,4,3
"1171",1,"rep","middle","white","female",2,50,3,2,2,3,4,4,3,4,3,NA,3,3,3,3,3,NA,3,10,7
"1172",1,"rep","don't know/refuse","white","female",2,24,5,4,3,4,5,4,3,3,2,NA,4,4,-2,1,3,NA,4,13,11
"1173",1,"ind","don't know/refuse","white","female",1,41,4,3,4,4,5,4,2,4,4,3,2,2,3,3,2,8,4,12,11
"1174",0,"rep","don't know/refuse","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,4,3,-6,4,5,NA,NA,NA,NA,NA,NA
"1175",1,"ind","don't know/refuse","white","female",-8,79,4,2,3,2,2,4,3,3,3,NA,3,2,4,1,1,NA,1,9,7
"1176",0,"rep","working","white","female",2,27,5,5,5,4,5,5,2,2,2,5,5,4,3,3,4,12,4,14,14
"1177",0,"dem","don't know/refuse","white","female",2,48,1,1,1,1,4,1,4,5,5,1,2,4,3,2,3,6,3,5,3
"1178",0,"ind","don't know/refuse","white","male",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,5,1,-6,3,5,NA,NA,NA,NA,NA,NA
"1179",0,"rep","middle","white","male",2,27,4,1,1,1,1,2,4,4,5,1,3,3,3,1,1,3,1,7,3
"1180",0,"dem","don't know/refuse","white","female",2,52,3,1,2,2,-5,1,5,5,4,NA,2,3,3,3,3,NA,NA,NA,5
"1181",0,"ind","don't know/refuse","white","male",2,48,3,2,3,2,4,4,3,5,3,2,2,3,3,1,3,6,3,10,7
"1182",0,"ind","working","white","male",3,80,3,1,2,2,4,1,3,3,3,NA,2,4,4,4,4,NA,3,7,5
"1183",0,"rep","upper","white","male",2,26,5,4,4,4,7,4,1,2,2,NA,2,4,3,1,3,NA,5,14,12
"1184",0,"dem","middle","nonwhite","female",2,52,1,1,1,1,5,1,3,5,5,1,2,2,3,3,3,7,4,6,3
"1185",1,NA,"don't know/refuse","white","female",2,24,3,3,3,3,5,3,3,2,4,4,3,3,3,5,4,13,4,10,9
"1186",0,"dem","working","white","male",2,50,4,1,1,3,5,3,2,4,2,2,1,2,2,2,4,8,4,11,5
"1187",0,"dem","middle","white","male",1,81,1,1,1,2,4,1,4,5,4,2,2,3,3,3,3,8,3,5,4
"1188",1,"rep","don't know/refuse","white","female",2,32,3,4,4,2,4,3,3,3,3,NA,5,5,2,3,5,NA,3,9,10
"1189",0,"dem","don't know/refuse","white","female",3,32,2,1,1,2,2,3,3,4,4,1,2,1,3,1,1,3,1,6,4
"1190",0,"ind","don't know/refuse","white","female",3,32,5,2,4,2,7,4,2,1,4,NA,3,5,5,2,4,NA,5,14,8
"1191",0,"dem","middle","nonwhite","female",2,50,1,1,1,2,3,1,3,4,2,1,3,3,3,4,3,8,2,4,4
"1192",1,"ind","lower",NA,"male",2,21,4,4,3,3,5,5,2,3,1,NA,2,4,3,4,4,NA,4,13,10
"1193",1,"rep","middle","white","male",2,50,4,3,3,4,3,2,3,5,4,1,3,3,3,1,3,5,2,8,10
"1194",1,"ind","working","white","female",3,77,5,3,3,3,5,4,2,2,2,1,4,4,3,4,2,7,4,13,9
"1195",1,"ind","don't know/refuse","white","female",2,50,4,2,3,3,5,1,2,4,2,1,5,5,3,2,4,7,4,9,8
"1196",1,"ind","working","white","male",2,50,4,3,4,2,6,3,1,3,1,5,3,4,3,4,3,12,5,12,9
"1197",0,"dem","middle","nonwhite","male",-7,-7,NA,NA,NA,NA,-7,NA,1,-7,2,NA,-7,3,2,NA,NA,NA,NA,NA,NA
"1198",0,"dem","don't know/refuse","white","female",2,77,2,1,3,2,4,3,5,5,5,2,2,2,3,2,2,6,3,8,6
"1199",1,"rep","don't know/refuse","white","male",2,38,5,4,5,4,5,5,3,3,3,2,3,3,3,5,2,9,4,14,13
"1200",0,"ind","middle",NA,"male",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,4,2,-6,3,3,NA,NA,NA,NA,NA,NA
"1201",1,"rep","middle","white","female",2,26,3,3,3,3,5,3,3,4,4,1,3,3,2,3,3,7,4,10,9
"1202",0,"ind","middle","nonwhite","female",2,32,4,1,1,2,3,1,2,1,5,3,1,2,4,4,1,8,2,7,4
"1203",0,"ind","working","white","male",2,52,3,2,1,1,3,2,3,4,2,2,2,3,3,3,4,9,2,7,4
"1204",0,"rep","middle","white","male",2,38,3,4,4,5,4,2,2,4,5,2,3,3,3,2,2,6,3,8,13
"1205",0,"dem","don't know/refuse","white","female",2,34,5,5,1,4,6,5,1,4,5,NA,3,4,2,5,4,NA,5,15,10
"1206",0,"dem","don't know/refuse","nonwhite","female",1,81,4,1,1,2,4,1,4,4,4,NA,1,2,3,1,1,NA,3,8,4
"1207",1,"rep","middle","white","male",2,61,5,3,2,2,2,4,3,4,4,1,4,3,3,2,4,7,1,10,7
"1208",1,"ind","middle","white","male",2,5,5,4,4,3,6,5,2,3,2,1,5,4,2,3,3,7,5,15,11
"1209",1,"dem","lower","white","female",2,-9,NA,NA,NA,NA,-9,NA,3,-9,2,NA,4,5,3,NA,4,NA,NA,NA,NA
"1210",1,"ind","middle","white","male",1,38,4,1,1,2,4,3,5,4,5,2,4,4,5,2,1,5,3,10,4
"1211",0,"ind","middle","white","female",3,24,3,1,1,1,4,3,5,5,2,2,3,3,3,2,2,6,3,9,3
"1212",0,"ind","lower","nonwhite","female",2,30,1,4,4,3,2,2,5,3,5,1,3,3,2,4,4,9,1,4,11
"1213",0,"ind","middle","white","female",-6,-6,NA,NA,NA,NA,-6,NA,5,-6,5,3,-6,3,3,NA,NA,NA,NA,NA,NA
"1214",0,"rep","middle","white","female",3,27,5,3,3,2,5,3,2,4,2,NA,4,5,3,1,3,NA,4,12,8
"1215",1,"rep","working","white","male",2,50,4,1,1,1,1,3,4,4,5,NA,3,4,3,1,2,NA,1,8,3
"1216",0,"dem","lower","white","male",1,26,4,3,2,3,4,4,2,4,2,NA,3,4,3,3,4,NA,3,11,8
"1217",1,"rep","don't know/refuse","white","male",2,61,5,2,3,2,3,2,2,4,4,3,3,2,3,1,3,7,2,9,7
"1218",0,"dem","don't know/refuse","nonwhite","female",2,27,3,3,3,3,3,1,1,4,1,NA,3,3,3,5,4,NA,2,6,9
"1219",0,"ind","don't know/refuse","white","female",2,50,5,4,3,3,5,5,2,2,2,1,3,4,4,3,4,8,4,14,10
"1220",0,"ind","don't know/refuse","nonwhite","female",2,24,4,1,2,3,6,2,3,2,3,5,3,3,3,4,4,13,5,11,6
"1221",0,"ind","working","white","female",2,48,3,2,3,3,4,3,3,5,4,3,3,3,4,4,4,11,3,9,8
"1222",0,"rep","upper","white","male",2,32,5,2,3,3,4,3,5,4,5,1,3,2,4,1,3,5,3,11,8
"1223",0,"ind","middle","white","female",3,32,4,2,2,3,4,3,4,4,5,NA,2,3,3,2,2,NA,3,10,7
"1224",0,NA,"don't know/refuse","white","male",2,38,4,2,3,3,6,2,3,4,2,3,2,5,5,4,4,11,5,11,8
"1225",0,NA,"working","white","female",2,39,2,1,1,2,4,1,4,5,4,NA,3,3,5,4,4,NA,3,6,4
"1226",0,"dem","working","white","male",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,5,NA,-6,2,3,NA,NA,NA,NA,NA,NA
"1227",0,"dem","working","nonwhite","female",2,32,1,5,3,5,7,1,1,5,1,3,2,3,1,5,5,13,5,7,13
"1228",0,"rep","middle","white","male",2,50,3,3,3,2,3,3,3,4,3,3,3,3,4,3,4,10,2,8,8
"1229",0,"dem","middle","nonwhite","female",2,48,1,1,2,1,1,1,5,3,5,1,1,1,1,1,1,3,1,3,4
"1230",0,"dem","lower","nonwhite","female",1,-8,3,5,4,3,3,4,4,1,2,NA,1,3,3,5,2,NA,2,9,12
"1231",0,"rep","middle",NA,"male",1,7,5,4,4,2,4,4,3,-9,3,NA,1,2,1,2,2,NA,3,12,10
"1232",0,"rep","middle","nonwhite","male",2,13,3,2,2,3,3,2,3,4,-9,NA,4,2,-2,2,3,NA,2,7,7
"1233",0,"rep","working","white","male",2,31,3,3,3,3,3,3,-5,3,-5,NA,5,5,3,3,4,NA,2,8,9
"1234",0,"rep","don't know/refuse","white","male",1,21,5,4,5,4,7,5,3,2,2,2,3,2,3,1,2,5,5,15,13
"1235",0,"ind","lower","nonwhite","female",2,32,1,3,4,3,4,1,4,5,4,NA,4,3,3,5,4,NA,3,5,10
"1236",0,"dem","working","white","female",2,32,2,2,2,2,4,1,5,4,2,1,2,3,3,3,3,7,3,6,6
"1237",0,"ind","middle","nonwhite","female",2,40,1,1,1,1,5,1,5,5,5,NA,2,3,3,4,4,NA,4,6,3
"1238",0,"dem","middle","white","female",2,31,1,1,1,1,4,1,5,5,5,NA,1,2,2,3,3,NA,3,5,3
"1239",0,"dem","don't know/refuse","white","male",1,48,1,1,1,1,1,1,5,5,5,1,2,3,3,4,4,9,1,3,3
"1240",0,"dem","don't know/refuse","white","female",1,41,5,1,1,4,4,4,1,4,2,NA,3,4,2,3,1,NA,3,12,6
"1241",1,"ind","don't know/refuse","white","female",2,24,5,2,2,4,3,3,3,4,4,NA,3,3,3,3,3,NA,2,10,8
"1242",0,"dem","don't know/refuse","white","female",3,17,2,1,3,1,5,2,4,5,5,NA,2,2,3,2,3,NA,4,8,5
"1243",1,"rep","don't know/refuse","white","female",1,81,3,3,3,4,4,4,2,4,4,NA,3,4,3,2,3,NA,3,10,10
"1244",0,"rep","don't know/refuse","white","female",3,47,3,1,3,2,4,3,2,5,2,1,2,3,3,2,3,6,3,9,6
"1245",0,"dem","middle","nonwhite","male",3,32,3,3,3,3,3,1,2,4,2,NA,3,3,1,1,3,NA,2,6,9
"1246",0,"ind","middle","white","female",2,52,1,1,1,2,4,1,5,5,5,NA,3,3,4,2,4,NA,3,5,4
"1247",1,"rep","middle","white","male",3,26,5,3,3,2,4,5,4,4,4,2,4,4,4,2,3,7,3,13,8
"1248",0,"rep","don't know/refuse","white","male",2,69,4,4,3,2,4,4,3,4,3,2,4,3,2,3,2,7,3,11,9
"1249",0,"dem","working","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,3,-6,2,3,NA,NA,NA,NA,NA,NA
"1250",0,NA,"don't know/refuse",NA,"female",-7,-7,NA,NA,NA,NA,-7,NA,3,-7,4,NA,-7,4,3,NA,NA,NA,NA,NA,NA
"1251",0,"rep","working",NA,"male",2,43,3,2,3,3,3,3,5,4,5,1,3,3,3,4,1,6,2,8,8
"1252",0,"rep","middle","white","male",2,52,3,2,2,3,4,3,3,4,3,1,3,4,3,2,4,7,3,9,7
"1253",0,"dem","don't know/refuse","white","female",2,24,2,3,2,2,4,2,3,5,4,1,3,4,3,2,3,6,3,7,7
"1254",1,"rep","middle","nonwhite","female",2,41,5,4,4,3,5,4,2,5,2,1,3,4,2,2,4,7,4,13,11
"1255",1,"rep","working","white","male",2,80,5,3,4,4,5,1,3,3,3,2,3,4,3,3,4,9,4,10,11
"1256",0,"dem","middle","nonwhite","female",2,-9,3,3,3,3,4,3,5,3,5,3,3,3,3,3,3,9,3,9,9
"1257",1,"rep","working","white","male",2,41,5,2,4,2,4,3,3,4,3,NA,3,3,3,1,3,NA,3,11,8
"1258",1,"rep","middle","white","male",2,38,3,4,4,4,6,3,3,3,3,1,3,4,3,2,2,5,5,11,12
"1259",1,"ind","don't know/refuse","white","male",2,50,4,3,3,2,6,4,5,4,5,4,2,5,3,4,3,11,5,13,8
"1260",1,"rep","middle","white","male",2,27,2,3,4,3,5,4,4,2,4,3,5,4,5,1,4,8,4,10,10
"1261",0,"ind","working","nonwhite","male",2,41,5,2,5,1,4,5,3,2,3,NA,2,2,3,5,4,NA,3,13,8
"1262",0,"dem","don't know/refuse","white","female",2,24,4,2,2,2,4,4,4,4,3,2,3,2,3,3,3,8,3,11,6
"1263",0,"rep","middle","nonwhite","male",1,24,1,1,1,3,6,5,2,2,2,1,2,4,2,3,2,6,5,11,5
"1264",1,"rep","don't know/refuse","white","male",2,43,4,2,4,4,5,4,2,4,3,2,5,4,3,3,2,7,4,12,10
"1265",0,"ind","working","white","female",2,41,5,4,3,5,4,3,5,4,4,NA,4,4,-2,5,2,NA,3,11,12
"1266",0,"dem","working","white","female",2,800,5,1,1,2,4,2,2,1,2,NA,1,4,5,4,3,NA,3,10,4
"1267",1,"rep","don't know/refuse","white","female",2,5,3,3,3,3,2,3,3,5,3,2,3,3,3,3,4,9,1,7,9
"1268",0,"ind","middle","white","female",-7,-7,NA,NA,NA,NA,-7,NA,5,-7,3,2,-7,2,3,NA,NA,NA,NA,NA,NA
"1269",0,"dem","don't know/refuse","white","female",2,81,1,1,1,3,3,1,5,5,5,NA,2,3,3,3,3,NA,2,4,5
"1270",1,"rep","don't know/refuse","white","male",2,47,5,3,3,2,5,5,4,4,3,NA,3,4,4,2,4,NA,4,14,8
"1271",0,"rep","working","nonwhite","male",2,7,5,4,5,5,5,5,3,4,4,NA,4,3,5,1,1,NA,4,14,14
"1272",0,"rep","middle","white","male",-7,-7,NA,NA,NA,NA,-7,NA,3,-7,3,1,-7,2,2,NA,NA,NA,NA,NA,NA
"1273",0,NA,"middle","nonwhite","female",2,30,3,3,3,4,6,3,5,3,5,1,5,4,3,5,4,10,5,11,10
"1274",1,"rep","working","white","female",2,27,4,3,3,3,3,5,4,4,4,1,3,4,3,4,4,9,2,11,9
"1275",0,"rep","middle","white","female",1,38,5,3,4,3,5,4,3,3,3,3,4,4,5,1,3,7,4,13,10
"1276",1,"ind","working","white","male",2,5,3,3,2,4,4,3,2,3,2,1,3,5,3,2,4,7,3,9,9
"1277",0,"dem","don't know/refuse","white","female",2,75,2,1,2,1,4,2,5,4,4,NA,2,2,3,2,3,NA,3,7,4
"1278",0,NA,"middle","nonwhite","female",2,38,3,2,3,4,3,2,5,5,5,3,3,5,5,4,4,11,2,7,9
"1279",0,"rep","upper","nonwhite","male",3,81,2,2,2,2,4,2,3,4,3,1,2,3,3,2,3,6,3,7,6
"1280",0,"dem","don't know/refuse","white","female",1,26,5,2,5,3,6,4,5,4,5,1,2,4,3,3,4,8,5,14,10
"1281",0,"rep","middle","white","female",2,80,4,2,4,2,5,3,4,5,5,NA,4,3,4,3,3,NA,4,11,8
"1282",1,"dem","don't know/refuse","white","female",2,30,5,4,3,5,6,5,3,4,2,1,3,3,3,3,4,8,5,15,12
"1283",0,"ind","working","white","female",3,32,4,2,1,2,3,1,5,5,5,1,2,2,3,1,3,5,2,7,5
"1284",1,"ind","don't know/refuse","white","female",2,24,5,2,4,3,5,3,3,4,4,5,4,4,4,3,4,12,4,12,9
"1285",0,"dem","working","white","female",3,31,4,2,2,2,3,1,4,3,3,1,2,3,5,3,4,8,2,7,6
"1286",0,"rep","middle","white","male",2,47,5,2,1,3,4,4,3,5,3,1,2,2,3,1,2,4,3,12,6
"1287",0,"ind","working",NA,"male",2,38,3,4,3,3,3,3,3,5,4,3,4,3,4,5,4,12,2,8,10
"1288",0,"ind","don't know/refuse","white","female",2,81,5,1,2,1,1,4,2,5,4,1,3,4,3,1,3,5,1,10,4
"1289",0,"ind","don't know/refuse","nonwhite","male",2,800,4,1,3,2,7,3,1,1,1,NA,3,3,1,4,4,NA,5,12,6
"1290",0,"dem","middle","white","female",2,48,2,1,1,2,4,2,5,4,5,NA,2,2,3,2,2,NA,3,7,4
"1291",0,"ind","don't know/refuse","nonwhite","male",2,800,1,2,3,1,5,3,-9,1,5,4,4,5,5,4,4,12,4,8,6
"1292",0,"dem","don't know/refuse","nonwhite","male",2,32,1,1,2,4,4,2,2,2,2,1,1,4,1,4,4,9,3,6,7
"1293",1,"rep","middle","white","female",2,50,3,3,4,2,1,3,4,1,1,NA,3,5,4,1,1,NA,1,7,9
"1294",0,"rep","don't know/refuse","white","female",2,50,4,3,4,3,-9,3,4,4,4,2,5,3,3,3,3,8,NA,NA,10
"1295",0,"dem","don't know/refuse","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,5,NA,-6,3,3,NA,NA,NA,NA,NA,NA
"1296",0,"dem","middle","nonwhite","female",1,32,4,1,1,2,2,2,2,4,4,1,2,2,3,2,2,5,1,7,4
"1297",1,NA,"don't know/refuse","white","male",2,38,3,4,4,2,3,5,3,3,4,3,4,4,3,3,3,9,2,10,10
"1298",0,"dem","middle","white","male",2,81,4,3,4,3,5,4,2,4,2,NA,3,2,3,1,2,NA,4,12,10
"1299",0,"rep","working","white","female",2,41,5,4,5,2,7,3,4,5,4,2,3,5,2,3,5,10,5,13,11
"1300",0,"ind","middle","nonwhite","female",2,33,3,3,3,3,4,3,2,2,2,5,3,3,3,4,2,11,3,9,9
"1301",1,"rep","don't know/refuse","white","female",3,46,5,5,3,5,4,4,4,5,5,1,5,5,3,3,1,5,3,12,13
"1302",0,"dem","don't know/refuse","white","male",3,17,2,1,2,2,4,2,5,4,4,1,2,2,3,2,2,5,3,7,5
"1303",0,"rep","middle","white","female",3,48,4,2,1,3,4,4,3,5,3,1,2,2,3,2,3,6,3,11,6
"1304",0,"rep","middle","white","male",2,39,3,2,1,1,4,2,5,4,5,1,2,2,3,1,1,3,3,8,4
"1305",0,"dem","middle","white","male",2,52,4,2,2,2,4,2,4,4,5,1,2,2,3,3,3,7,3,9,6
"1306",0,"ind","middle","nonwhite","male",2,27,3,1,2,2,7,1,1,3,2,3,2,2,2,3,4,10,5,9,5
"1307",0,"ind","middle","white","male",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,3,1,-6,2,2,NA,NA,NA,NA,NA,NA
"1308",1,"rep","don't know/refuse","white","female",1,24,3,3,3,3,5,3,3,4,5,NA,4,3,2,4,3,NA,4,10,9
"1309",1,"rep","middle","white","male",2,50,3,3,3,3,4,3,3,5,3,3,3,4,3,3,3,9,3,9,9
"1310",1,"rep","don't know/refuse","white","male",2,79,5,4,4,4,6,5,1,3,2,2,4,4,1,3,4,9,5,15,12
"1311",0,NA,"don't know/refuse","white","female",2,10,4,2,2,3,3,3,3,4,5,NA,3,4,4,2,4,NA,2,9,7
"1312",0,"dem","don't know/refuse","nonwhite","other",2,800,1,2,1,2,3,1,4,5,4,1,2,4,2,4,4,9,2,4,5
"1313",0,"dem","working","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,5,1,-6,3,3,NA,NA,NA,NA,NA,NA
"1314",0,"dem","working","white","female",-6,-6,NA,NA,NA,NA,-6,NA,4,-6,5,NA,-6,4,3,NA,NA,NA,NA,NA,NA
"1315",0,"ind","lower","nonwhite","male",2,41,4,4,2,4,4,5,2,4,3,NA,2,4,2,4,4,NA,3,12,10
"1316",0,"dem","middle","white","male",2,52,1,1,1,1,3,1,3,5,3,2,2,3,3,2,3,7,2,4,3
"1317",0,"dem","middle","white","female",2,50,2,2,1,3,4,2,5,5,5,1,5,5,2,2,4,7,3,7,6
"1318",0,"ind","middle","white","female",-6,-6,NA,NA,NA,NA,-6,NA,3,-6,4,3,-6,4,3,NA,NA,NA,NA,NA,NA
"1319",0,"dem","middle","white","female",2,80,3,3,3,3,4,3,3,5,3,1,3,2,3,3,2,6,3,9,9
"1320",0,"dem","don't know/refuse","white","male",2,52,1,1,1,1,2,1,5,5,5,1,1,2,2,1,3,5,1,3,3
"1321",0,"ind","middle","white","male",2,81,4,2,3,2,3,3,3,4,2,NA,3,4,3,4,4,NA,2,9,7
"1322",0,"ind","don't know/refuse","nonwhite","male",2,17,4,3,2,2,5,1,4,4,4,2,2,2,5,3,3,8,4,9,7
"1323",0,"ind","don't know/refuse","white","female",2,34,3,3,4,4,4,3,4,4,4,NA,3,4,4,4,4,NA,3,9,11
"1324",0,"dem","don't know/refuse","nonwhite","female",-6,-6,NA,NA,NA,NA,-6,NA,2,-6,5,1,-6,2,3,NA,NA,NA,NA,NA,NA
"1325",0,"ind","lower","nonwhite","female",2,-9,5,1,1,1,7,5,2,5,3,NA,4,4,1,5,1,NA,5,15,3
"1326",1,"rep","don't know/refuse","white","female",1,5,5,1,4,2,5,4,2,4,1,1,3,2,3,1,1,3,4,13,7
"1327",1,NA,"middle","nonwhite","male",2,40,4,2,2,2,2,4,4,4,4,1,4,4,3,2,2,5,1,9,6
"1328",0,"ind","working","nonwhite","female",2,32,4,5,4,5,4,4,2,5,5,3,5,4,3,3,4,10,3,11,14
